,date,title,target
59108,2022-02-17,το μεσοπρόθεσμο «καίει» το σενάριο για εκλογές το 2023,0
55023,2021-12-10,συνάντηση ταλιμπάν με εε και ηπα – ανακοινώθηκε πακέτο 1 δις,0
29896,2020-06-13,παναθηναϊκός και παοκ έμειναν στο «μηδεν» ελέω διούδη,0
56734,2022-01-06,θα τελειώσει ο κορονοϊός φέτος;,0
59285,2022-02-21,κυνικός ο γυναικοκτόνος στα ιωάννινα:,0
48600,2021-08-28,γλυκά νερά – νέα τροπή στην υπόθεση – το σενάριο του συνεργού,0
32106,2020-09-04,«cinema... διάβασες;»: ταινίες για παιδιά γυρισμένες από παιδιά,0
61341,2022-03-29,"μίλτος σαχτούρης, ο ποιητής του παραλόγου και του συμβολισμού",0
66138,2022-06-22,πλάνα με έλληνες στρατιώτες στην ψέριμο δημοσιεύει το anadolu,0
26928,2020-04-06,ανακαλύφθηκε η αρχαιότερη μνημειακή κατασκευή των μάγια,0
38623,2021-03-11,kia ev6: premium αυτοκίνητο της χρονιάς 2022 στη γερμανία,0
49969,2021-09-19,"τι αλλάζει, με τη συμφωνία των τριών στον ειρηνικό;",0
35543,2021-01-20,ακόμη μία σεξουαλική κακοποίηση αποκάλυψε η σοφία μπεκατώρου,0
39028,2021-03-18,οι δυο τελευταίες online παραστάσεις των human touch στο half,0
68570,2022-08-05,"βέροια-λεβαδειακός 0-1, πρώτο μπαράζ ανόδου στη super league 1",0
29727,2020-06-05,"«κάνει λάθος η κομισιόν για την ύφεση», λέει η κυβέρνηση",0
39093,2021-03-19,νέα «χρυσή» συμφωνία κυβέρνησης - eldorado,0
65357,2022-06-06,με πρόταση μομφής απειλείται η ούρσουλα φον ντερ λάιεν,0
37810,2021-02-25,johnson & johnson: αποτελεσματικό κατά της βαριάς νόσησης,0
66241,2022-06-24,γυναικοκτονία στο κουκάκι: το χρονικό του εγκλήματος,0
40418,2021-04-11,"mέσα στη θύελλα, άρχισε να μας δουλεύει και η κυρία γκάγκα",0
42355,2021-05-13,πέρα από τον καλό και τον κακό μπάφο. η αυτοκριτική γεωργιάδη,0
26165,2020-02-04,ευθύνη παρακολούθησης για κάθε ασθενή που μένει σπίτι,0
37139,2021-02-14,κλειστά τα σχολεία όλων των βαθμίδων στην κεντρική μακεδονία,0
48679,2021-08-29,cave syndrome: γιατί οι άνθρωποι δυσκολεύονται να επιστρέψουν,0
42063,2021-05-09,φολέγανδρος: το λιμενικό μεταφέρει πρόσφυγες,0
52180,2021-10-23,κηφισιά: άνδρας πυροβόλησε υπαλλήλους μέτρησης φυσικού αερίου,0
41718,2021-05-03,"δείτε 10 ταινίες, 6 μεγάλου και 4 μικρού μήκους, σήμερα παρασκευή",0
69238,2022-08-20,ηράκλειο: σε απολογία ο προϊστάμενος πρασίνου μετά το δυστύχημα,0
51042,2021-10-07,"τούρκοι δημοσιογράφοι δέχονται επιθέσεις, οι δράστες αθωώνονται",0
66317,2022-06-25,γρηγόρης λέων: «πλήρης επιβεβαίωση της ασφυξίας της μαλένας»,0
45673,2021-07-09,η αντίσταση της παντζσίρ: το τελευταίο «κάστρο» των αντι-ταλιμπάν,0
30861,2020-06-29,ο κοροναϊός υπήρχε στην ισπανία ένα χρόνο πριν την έξαρση!,0
55323,2021-12-14,η θεωρία της σχετικότητας του αϊνστάιν πέρασε ξανά από τεστ,0
28053,2020-04-29,το φιλμ βασίζεται στο αυτοβιογραφικό βιβλίο του έρνεστ χέμινγουεϊ,0
68532,2022-08-04,είμαστε με τον ζελένσκι αλλά ο ζελένσκι είναι με την τουρκία,0
54744,2021-12-05,ποινική δίωξη για έναν βιασμό και δυο απόπειρες στον π. φιλιππίδη,0
66521,2022-06-28,με νέα μοντέλα renault και alpine στο goodwood festival of speed,0
48222,2021-08-21,ντορσεϊ: απαραίτητη ένεση ποιότητας,0
40691,2021-04-15,έναρξη τον σεπτέμβριο για το ταμείο ανάκαμψης,0
68621,2022-08-06,θεσσαλονίκη: δικογραφία σε βάρος 73χρονου,0
42236,2021-05-11,ερωταπαντήσεις σχετικά με την τρίτη δόση του εμβολίου,0
68990,2022-08-16,πηγές υπ. προστασίας του πολίτη: «οι διασωθέντες λένε ότι η,0
33043,2020-12-04,ραγκούσης για την εξάπλωση του κοροναϊού,0
41109,2021-04-22,ο κορονοϊός «σαρώνει» την ινδία: «η κατάσταση είναι ζοφερή»,0
39550,2021-03-27,η κυρία παπαευαγγέλου και ο δ. καμπουράκης,0
52677,2021-11-01,ξεκινά ο διάλογος ελλάδας - τουρκίας στις 25 ιανουαρίου,0
25910,2020-01-04,πάτρα: ο δήμος ονομάζει «οδό μανώλη γλέζου και απόστολου σάντα»,0
48953,2021-09-03,αντιμέτωποι με τη δεύτερη χειρότερη ύφεση μεταπολεμικά,0
44229,2021-06-15,παρενέργειες pfizer και moderna: τα νεότερα δεδομένα,0
48673,2021-08-29,γυναίκα δικαστικός καταγγέλλει πρώην πρόεδρο εφετών για βιασμό,0
32489,2020-10-05,μαρτυρίες και βίντεο: κυψέλη… αστυνομικής βίας και αυθαιρεσίας,0
27921,2020-04-27,ανοίγει ξανά από σήμερα το βράδυ η νέα παραλία της θεσσαλονίκης,0
47999,2021-08-18,ο τόνι μπλερ και ο κεν λόουτς. γράφει ο στέλιος κούλογλου,0
60439,2022-03-15,ουκρανία - ρωσία: την τετάρτη θα συνεχιστούν οι διαπραγματεύσεις,0
28869,2020-05-20,σχέδιο «ανοσία της αγέλης» στην οικονομία,0
42373,2021-05-14,μελέτη: περίπου 25.000 μαθητές οδηγούνται εκτός πανεπιστημίων,0
65092,2022-06-01,"ο ρίτσος, ο μητσοτάκης, ο άη στράτης",0
66460,2022-06-28,λιθουανία: απαγορεύτηκε δια νόμου η εισαγωγή ρωσικού φυσικού,0
67245,2022-07-13,το υππο υποχώρησε για τις αυξήσεις των ηθοποιών,0
61856,2022-04-05,το βίντεο της τρανσφοβικής επίθεσης του ιερέα στην καλλιθέα,0
59064,2022-02-17,ουκρανία: βομβαρδισμοί στο αεροδρόμιο του ντονέτσκ,0
34017,2020-12-24,σαν σήμερα γεννήθηκε η...  «άγια νύχτα»,0
47330,2021-08-06,υπουργείο πολιτισμού: αντιστάθηκαν και απολύθηκαν,0
63612,2022-05-07,η κυβέρνηση παρουσίασε φοιτητική μελέτη του 2008,0
28080,2020-04-29,κάντζα: μυστήριο με τον θάνατο του 45χρονου,0
70049,2022-09-02,ανακαλύφθηκε ο πρώτος τετραπλός αστεροειδής με τρεις δορυφόρους,0
33665,2020-12-18,έτσι θα εμπλακούν οι ένοπλες δυνάμεις,0
51204,2021-10-10,τα μαθήματα στα πανεπιστήμια αρχίζουν με το «ο θεός βοηθός»,0
29569,2020-05-30,στους δρόμους γκρεμίζεται η μιντιακή δικτατορία,0
27582,2020-04-22,«ο καλλιτέχνης δεν είναι άνθρωπος» [βίντεο],0
59336,2022-02-21,θάνατος τζωρτζίνας: οι διαρροές για τοξικό αέριο και η διάψευση,0
27841,2020-04-26,tvxs ρεπορτάζ: η επιτυχία της μονάδας απεξάρτησης 18 άνω...,0
47908,2021-08-16,"σεισμός 3,9 ρίχτερ στη μεγαλόπολη",0
39169,2021-03-20,η πλατφόρμα για το voucher των 200 ευρώ για τάμπλετ - λάπτοπ,0
57757,2022-01-25,νέες καταγγελίες και συμπληρωματική δίωξη σε βάρος του ιερέα,0
34450,2021-01-03,"κοροναϊός: 1.176 νέα κρούσματα, 30 θύματα, 406 διασωληνωμένοι",0
40430,2021-04-11,«εμπόλεμη ζώνη» τα νοσοκομεία σε θεσσαλονίκη - κ. μακεδονία,0
54307,2021-11-28,έξι θέσεις για την aριστερά του 21ου αιώνα,0
45081,2021-06-29,κοροναϊός: αύξηση κρουσμάτων με υψηλό δεκαπενθημέρου,0
32052,2020-08-12,υπόθεση παντελίδη: νέα στοιχεία για το μοιραίο δυστύχημα,0
71012,2022-10-08,παραίτηση πρωθυπουργού: τα λάθη μητσοτάκη και η κίνηση ανδρουλάκη,0
60842,2022-03-21,οικονόμου για υπόθεση πατούλη,0
52794,2021-11-03,μήνυση κατέθεσε η οικογένεια του βρέφους 37 ημερών που πέθανε,0
60126,2022-03-05,ελεύθερος ο 30χρονος που κλώτσησε το γατάκι σε ταβέρνα,0
31398,2020-07-15,"λαζανάς: σε φάση μαρτίου, αν συνεχιστεί η αύξηση κρουσμάτων.",0
47873,2021-08-16,"ελληνικά μμε: χειροκρότα ρε, τι σου ζητάμε;",0
70840,2022-10-05,στα ύψη η βενζίνη,0
63926,2022-05-16,«όχι» ερντογάν στην ένταξη σουηδίας και φιλανδίας στο νατο,0
41808,2021-05-04,κοντοζαμάνης για απολυμένο γιατρό του «άγιος σάββας»,0
46800,2021-07-28,προ των πυλών οι αποφάσεις για τρίτη δόση εμβολίου,0
53840,2021-11-20,αφγανιστάν: τρεις ως τέσσερις μισθούς δημοσίων υπαλλήλων,0
41148,2021-04-23,τα απομνημονεύματα του σ. τσιόδρα,0
70139,2022-09-03,πως συνδέεται η ομάδα αίματος με νοσήματα του ανθρώπινου σώματος,0
30327,2020-06-20,δεν είναι της μάνας σου το μαγαζί…,0
54577,2021-12-02,τα παντελόνια πάνω!,0
43036,2021-05-26,ο μητσοτάκης και οι εμβολιασμοί,0
39130,2021-03-19,εμβόλιο astrazeneca: πώς αντιδρούν οι χώρες,0
55087,2021-12-10,γκάφες μπακογιάννη: όλα λάθος για πλατάνια μεγάλου περιπάτου,0
36774,2021-02-08,καλοκαιρινές προσφορές fiat με εκπτώσεις έως 3.200 ευρώ,0
30970,2020-07-04,ο γεωργιάδης ακύρωσε μητσοτάκη για ευρωομόλογο,0
49724,2021-09-15,"κοροναϊός: 2.422 νέα κρούσματα, 37 θάνατοι, 364 διασωληνωμένοι",0
34307,2020-12-31,ερωτήματα από αιφνιδιαστική αναβολή εμβολιασμού υγειονομικών,0
56573,2022-01-04,πίσω από τις δημοσκοπήσεις,0
38382,2021-03-07,μετάλλαξη «δέλτα»: αυτά είναι τα συμπτώματα,0
49679,2021-09-15,αδέσποτες λέξεις: η δημοσίευση του tvxs που ενέπνευσε ένα τραγύδι,0
72098,2022-12-08,κούβα: δεύτερος νεκρός πυροσβέστης,0
53973,2021-11-23,κερατσίνι: η 8χρονη έμεινε για ώρες αβοήθητη,0
31536,2020-07-18,σύνοδος κορυφής για το ταμείο ανάκαμψης: προσώρας αδιέξοδο,0
55025,2021-12-10,τί έγινε και τί δεν έγινε στη βόρεια εύβοια,0
42785,2021-05-21,ο σκύλος peanut στο κατόπι των νονών!,0
65971,2022-06-20,πρώτο χτύπημα μελανσόν: καταθέτει πρόταση μομφής κατά κυβέρνησης,0
63990,2022-05-16,επίσκεψη μητσοτάκη σε ηπα: τι απάντησε για ελευθερία τύπου,0
35171,2021-01-14,παράταση σκληρού lockdown σε χωριά της φλώρινας και του λασιθίου,0
53519,2021-11-15,ασφυξία στα νοσοκομεία – κυβερνητικό «μπλόκο» σε νέα μέτρα,0
49122,2021-09-06,οι πρώτες κοντινές φωτογραφίες του γανυμήδη  από το σκάφος juno,0
27984,2020-04-28,"καθ. μαγιορκίνης, μέλος επιτροπής εοδυ για σχολεία",0
35362,2021-01-17,κακλαμανάκης: «ομερτά και βία στους αθλητές από την ομοσπονδία»,0
27497,2020-04-21,περπατήστε online στο rijksmuseum ανάμεσα σε έργα του rembrandt,0
67220,2022-07-13,"οι ταινίες της ημέρας: γαλλική κωμωδία, ισπανικό θρίλερ, «fargo»",0
53373,2021-11-13,οι θάνατοι και οι εισαγωγές σε μεθ,0
56009,2021-12-25,κυρίαρχη πλέον η μετάλλαξη όμικρον στην πορτογαλία,0
50136,2021-09-22,εργαζόμενοι πειραιώς : ερωτματικα γτο συγκρότημα της lamdα,0
69511,2022-08-24,νδ: ο συριζα παραβίασε το απόρρητο δε θα μας σταματήσουν,0
52755,2021-11-02,"κ. κατσαφάδος: μια φορά τραμπούκος, πάντα τραμπούκος",0
67150,2022-07-08,καταγγελία μπιμπίλα: ηθοποιοί κινδυνεύουν να μείνουν απλήρωτοι,0
40881,2021-04-19,αττικόν: αρνητές κορονοϊού προπηλάκισαν γιατρούς και νοσηλευτές,0
43128,2021-05-27,ανοιχτή φιλοζωικών σε μητσοτάκη για αδέσποτα,0
69297,2022-08-21,λαμία-αεκ 0-3 για την 1η αγωνιστική της super league 1,0
46072,2021-07-15,«βίος και πολιτεία» του αστυνομικού - μαστροπού μπουγιούκου,0
71230,2022-11-03,πάτρα: νέες πληροφορίες για τον ιατρικό φάκελο της τζωρτζίνας,0
53169,2021-11-10,αναζητώντας τον «έλληνα κουρτς»,0
52284,2021-10-25,πορτογαλία: διώκοντας τη «μαφία της λεμονάδας»,0
31903,2020-08-06,πώς το άγχος επηρεάζει τους υποψήφιους των πανελλαδικών εξετάσεων,0
28316,2020-05-06,ηπα: αστυνομικοί ρίχνουν κάτω 75χρονο και τον αφήνουν αιμόφυρτο,0
57391,2022-01-19,κόντρα βαξεβάνη-οικονόμου και το «καρφί» ζουπανιώτη,0
70629,2022-10-02,"ελλάδα, βουλγαρία «πρωταθλητές» στη μαύρη λίστα θανάτων από covid",0
52653,2021-11-01,φονική συμπλοκή στον άγιο σώστη,0
71616,2022-12-01,"πρόεδρος ολμε: όχι στο 50+1, παράταση των συμβάσεων των καθηγητών",0
33258,2020-12-12,πλημμύρισε και πάλι το καρά τεπέ – παρά τα αντιπλημμυρικά έργα,0
38994,2021-03-18,η κυβέρνηση απέτυχε παταγωδώς στη διαχείριση της πανδημίας,0
52572,2021-10-30,πόσο αξίζει η ζωή ενός… «γύφτου»;,0
42111,2021-05-09,«πώς εκτέλεσαν τον χαλκίδη μπροστά στα μάτια μου»,0
51479,2021-10-14,πιέσεις για την πανεπιστημιακή αστυνομία,0
69238,2022-08-20,ηράκλειο: σε απολογία ο προϊστάμενος πρασίνου μετά το δυστύχημα,0
55191,2021-12-12,"παοκ-λαμία 2-1, 13η αγωνιστική της super league 1",0
37872,2021-02-25,"τώρα, καιγόμαστε σαν σύνολο",0
52147,2021-10-23,παραλήρημα τσελέντη για απόσυρση εικονισμάτων από νοσοκομεία,0
41428,2021-04-28,"hyundai kona n: ένα αληθινό ""hot"" suv για υψηλές επιδόσεις",0
29447,2020-05-28,ακρόπολη: δεν επέτρεψαν σε αντιπροσωπεία του συριζα να επισκεφτεί,0
66962,2022-07-05,βόρεια ιρλανδία: «νέα εποχή» υπόσχεται η ηγέτιδα του σιν φέιν,0
43432,2021-06-02,πανδημία: 10 μυστικά που αποκρύπτει η κυβέρνηση,0
46816,2021-07-28,"το εμβόλιο, τα λατινικά και η κεραμέως",0
48047,2021-08-18,φωτιά στα βίλια: παραλίγο τραγωδία με το ρωσικό αεροσκάφος,0
36735,2021-02-08,hyundai i30 1.0τ 120 ps 48v hybrid: ένα μικρομεσαίο που συμφέρει…,0
65242,2022-06-04,νέος κύκλος σύγκρουσης βρυξελλών-βουδαπέστης,0
51797,2021-10-18,οχτώ παίχτες τις αεκ μπήκαν στο γήπεδο κρατώντας οχτώ κουτάβια,0
64360,2022-05-22,40ή μαραθώνια πορεία ειρήνης - δ. κουτσούμπας,0
45572,2021-07-07,οι tiger lillies στο ηρώδειο,0
60858,2022-03-21,άδειασμα πλεύρη από τσιόδρα για την κατάργηση του πιστοποιητικού,0
39177,2021-03-21,βαριά περιστατικά ασθένειας σε κατοικίδια με την παραλλαγή,0
26532,2020-03-06,δεν απέλυσε τον υπουργό άμυνας ο τραμπ,0
31964,2020-08-07,"δεν έχουν υποβληθεί 2,8 εκατομμύρια φορολογικές δηλώσεις",0
51702,2021-10-17,τρία νέα επαγγελματικά nissan ατενίζουν το μέλλον: all-star lcvs,0
27392,2020-04-18,σκεπτικισμός από τον που για τα τεστ αντισωμάτων,0
39875,2021-04-02,"jumbo: αναστολή λειτουργίας σε αττική, πάτρα, χαλκίδα",0
30589,2020-06-24,"«εάν δεν αλλάξουμε μετά τον κοροναϊό, είμαστε τελειωμένοι»",0
53155,2021-11-10,σε τρεις επιστήμονες το φετινό νόμπελ οικονομίας,0
63767,2022-05-13,πορεία στο κέντρο της αθήνας κατά της πανεπιστημιακής αστυνομίας,0
44421,2021-06-18,προθεσμία μέχρι την τρίτη ο δράστης των γλυκών νερών,0
30308,2020-06-19,υπό έλεγχο η φωτιά στο μαρτίνο - ανοικτή η εθνική οδός,0
55913,2021-12-23,παραγκούπολη στην καρδιά του χαλανδρίου ελέω γραφειοκρατίας,0
70177,2022-09-03,σε ποιες περιοχές της αττικής δεν θα λειτουργήσουν τα σχολεία,0
66512,2022-06-28,στους brics και το ιράν,0
29404,2020-05-28,δικαίωση για τον ιχθυοκαλλιεργητή σταλακάτο,0
29242,2020-05-26,η οδύσσεια των προσφύγων στο φεστιβάλ ντοκιμαντέρ θεσσαλονίκης,0
47519,2021-08-09,τα έβαλε με τον κουτσούμπα ο μητσοτάκης για τις αποδοκιμασίες,0
57044,2022-01-13,παράταση ζωής για την «αυγή»,0
35872,2021-01-25,το στε για εκδίκαση της αίτησης ακύρωσης του νόμου κεραμέως,0
38023,2021-03-01,γεωργιάδης: γνώριζα ότι θα κλείσουν τα καταστήματα,0
38735,2021-03-12,καλείται σε απολογία για ξέπλυμα μαύρου χρήματος,0
42329,2021-05-13,ανήσυχοι οι ειδικοί για την άρση των μέτρων,0
37468,2021-02-19,αντιεπιστημονικές δικαιολογίες,0
56377,2022-01-01,τουρκία: το κερί του ψεύτη...,0
70615,2022-10-02,η ρηνιώ δραγασάκη απαντά στη «συκοφαντική συσχέτιση» του άδωνι,0
46871,2021-07-29,"καρμοίρης: δεν ήταν ρατσιστικό το σχόλιό μου, το έχω βιώσει",0
61577,2022-04-01,με rapid test η αναρρωτική άδεια για όλους,0
33000,2020-11-12,ο έλγιν βρυκολάκιασε!,0
48059,2021-08-19,παοκ-ριέκα 1-1 playoffs europa conference league,0
31907,2020-08-06,κλείσε το φως να κοιμηθούμε,0
60152,2022-03-06,πώς αδειάζουν τραπεζικούς λογαριασμούς μέσω e-banking,0
37193,2021-02-15,η ελλάδα στην κατηγορία «ελαττωματικές» δημοκρατίες,0
50607,2021-09-29,μαρτυρίες φοιτητών στο tvxs.gr για τη φασιστική επίθεση,0
40603,2021-04-14,συγκλονιστική μαρτυρία ασθενή covid,0
44742,2021-06-23,χειλάκης για λιγνάδη: θέλω να πάω στη φυλακή να τον δω,0
33398,2020-12-14,είναι συριζα η γενική συνέλευση του icomos;,0
63047,2022-04-28,τζόνι ντεπ και άμπερ χέρντ: μία τοξική σχέση που ξεδιπλώνεται,0
50290,2021-09-24,πάτρα: ξύπνησε ο 6χρονος φώτης – τι λέει ο γιατρός του,0
49282,2021-09-09,ο δένδιας και οι άλλοι,0
63392,2022-05-04,«αμαντέους» στο δημοτικό θέατρο πειραιά: η μάχη του εαυτού,0
